
#PROGRESS REPORT

#gene list (AGI loci) loaded
#background loaded
#representative models loaded
#RNA loaded
#GFF3 loaded
#OVERLAP done (general)
#OVERLAP done (protein-coding genes)
#FOLD-ENRICHMENT + FISHER TEST for p-value done

################################################

#INPUT FILES

#INPUT LIST:	list_ALL.txt
#BACKGROUND:	allgenesArray.L20_S201.bkg

#TAIR MODELS:	TAIR10_representative_gene_models.txt
#GFF3 ANNOT.:	TAIR10_GFF3_genes.gff
#RNA ANNOT.:	UCSC_RNAstr_annotation.txt

################################################

#FILTERING OPTIONS (RNA structure)

#min SCORE:	201
#MIN length:	20
#MAX length:	1000

################################################

#OUTPUT STATISTICS

#unique RNA coordinates passing filtering:	22354
#(total allowing identical coordinates):	22455

#N genes with mapped model:	243
#(original N genes from list):	243

#N genes (list vs background)
all_protein-coding	237 	26405
all_5UTRgene	232 	19250
all_3UTRgene	232 	20071
all_pseudogene	0 	760
all_TrEl	1 	2427
all_miRNA	1 	139
all_snRNA	0 	12
all_snoRNA	0 	41
all_tRNA	0 	16
all_rRNA	0 	3
all_other_non-coding	4 	370

#OVERLAP STATISTICS, LIST vs BACKGROUND + FOLD ENRICHMENT + FISHER P-VALUE (HYPERGEOMETRIC TEST)

#N genes with RNA structure overlap (RNA partially contained in gene limits)
protein-coding	94 	4058 	2.58 	9.099239e-20
pseudogene	0 	45 	- 	1
TrEl	0 	5 	- 	1
miRNA	0 	4 	- 	1
snRNA	0 	1 	- 	1
snoRNA	0 	0 	- 	1
tRNA	0 	1 	- 	1
rRNA	0 	0 	- 	1
other_non-coding	1 	39 	2.37 	0.3607515

#N genes with RNA structure overlap (RNA FULLY contained in gene limits)
protein-coding	94 	4051 	2.59 	8.070292e-20
pseudogene	0 	43 	- 	1
TrEl	0 	5 	- 	1
miRNA	0 	1 	- 	1
snRNA	0 	1 	- 	1
snoRNA	0 	0 	- 	1
tRNA	0 	0 	- 	1
rRNA	0 	0 	- 	1
other_non-coding	0 	38 	- 	1

#N protein-coding genes with RNA structure overlapping exon feature (RNA partially contained in gene limits)
5UTR	1 	17 	4.88 	0.1863411
3UTR	1 	32 	2.70 	0.3108736
CDS	93 	4004 	2.59 	1.337527e-19
exon	93 	4031 	2.57 	2.120876e-19

#N protein-coding genes with RNA structure overlapping exon feature (RNA FULLY contained in gene limits)
5UTR	1 	17 	4.88 	0.1863411
3UTR	1 	29 	2.98 	0.2863761
CDS	93 	3999 	2.59 	1.227471e-19
exon	93 	4024 	2.57 	1.882762e-19

#N protein-coding genes with RNA structure not overlapping exon feature (RNA partially contained in gene limits)
intron	1 	27 	4.13 	0.2161637

#N protein-coding genes with RNA structure not overlapping exon feature (RNA FULLY contained in gene limits)
intron	1 	25 	4.46 	0.2018872

#N protein-coding genes with RNA structure FULLY CONTAINED IN EXON FEATURE LIMITS
CDS_FULL	67 	3196 	2.34 	1.564513e-11
exon_FULL	68 	3238 	2.34 	9.629737e-12

***WARNING: YOU CANNOT USE THIS AS BACKGROUND FILE!***

